job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,posted_date,source_platform,city,province,salary_visible,salary_min,salary_max,title_length,requirements_length
IOS Developer,PT Code Development Indonesia,"Jakarta Selatan,DKI Jakarta","Rp 6,8 jt-10 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | React Native,2 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,6800000,10000000,13,17
iOS Developer,PT Visionet Data Internasional,"Tangerang,Banten",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),+4 | IT Security,8 hari yang lalu,glints,Tangerang,Banten,0,0,0,13,16
Sr. Flutter Developer,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 10 jt-11 jt,Kontrak,5–10 tahun,Minimal Sarjana (S1),+4 | Restful API,10 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,10000000,11000000,21,16
Fullstack Developer,PT. Menara Integrasi Indonesia,"Kab. Tangerang,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+14 | Node.js,21 hari yang lalu,glints,Kab. Tangerang,Banten,0,0,0,19,13
Mobile Developer (Flutter),PT. Deptech Digital Indonesia,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | iOS Development,12 jam yang lalu,glints,Jakarta Pusat,DKI Jakarta,0,0,0,26,20
Backend Developer,PT. 4net Prima Solusi,"Jakarta Selatan,DKI Jakarta","Rp 5,8 jt-10 jt",Kontrak,1–3 tahun,Minimal Sarjana (S1),+11 | Node.js,3 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,5800000,10000000,17,13
Backend Developer,VGLANT,"Bandung,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,5–10 tahun,Minimal Diploma (D1 - D4),Hybrid | +17,6 hari yang lalu,glints,Bandung,Jawa Barat,0,0,0,17,12
Backend Developer,PT. Enigma Cipta Humanika (Enigma Camp),"Tangerang,Banten",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),+5 | Agile Methodologies,2 hari yang lalu,glints,Tangerang,Banten,0,0,0,17,24
Backend Developer,PT. Barrans Global Mandiri,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),Quarkus | +5,21 hari yang lalu,glints,Jakarta Pusat,DKI Jakarta,0,0,0,17,12
Backend Developer,PT KODE KOLEKTIF INDONESIA,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Diploma (D1 - D4),+5 | Java,14 jam yang lalu,glints,Jakarta Selatan,DKI Jakarta,0,0,0,17,9
