job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,posted_date,source_platform
UI/UX Designer Intern,Palm Game Studio,"Denpasar,Bali",Rp 1 jt,Magang,1–3 tahun,Minimal Sarjana (S1),+10 | Remote/Dari rumah,4 hari yang lalu,glints
Graphic & UI/UX Designer,PT Vylera Labs Indonesia,"Tangerang Selatan,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Figma | +4,17 hari yang lalu,glints
Internship UI/UX Designer,PT Qtera Mandiri,"Jakarta Utara,DKI Jakarta",Tidak Ditampilkan,Magang,Not Specified,Minimal Diploma (D1 - D4),+2 | UI Design | UX Design,15 hari yang lalu,glints
Desainer UI/UX,Yasa Nusa Talenta,"Jakarta Barat,DKI Jakarta",Rp 7 jt-21 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+9 | UX Design,2 hari yang lalu,glints
Desainer UI/UX,PT Indoparts Mobile Phones,"Jakarta Utara,DKI Jakarta",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,UI Design | +7,8 hari yang lalu,glints
UI/UX Designer Internship,Makers Institute,"Bandung,Jawa Barat",Tidak Ditampilkan,Magang,Not Specified,Minimal SMA/SMK,Figma | +4 | Usability Testing,12 hari yang lalu,glints
Desainer UI/UX,Pickolab Studio,"Semarang,Jawa Tengah","Rp 3 jt-3,5 jt",Kontrak,1–3 tahun,Minimal SMA/SMK,Hybrid | +5,Kemarin,glints
UI / UX Specialist,MyFundAction Indonesia,"Jakarta Pusat,DKI Jakarta",Rp 3 jt-6 jt,Freelance,1–3 tahun,Minimal Sarjana (S1),Hybrid | +5,4 hari yang lalu,glints
Internship - UI/UX Designer,Sekawan Media,"Kab. Malang,Jawa Timur",Tidak Ditampilkan,Magang,Not Specified,Minimal Diploma (D1 - D4),Figma | +1 | Adobe Photoshop,9 hari yang lalu,glints
UI UX Designer (Intern),PT. Living Fitness Indonesia,"Jakarta Pusat,DKI Jakarta","Rp 2,5 jt-2,5 jt",Magang,Not Specified,Minimal Sarjana (S1),Hybrid | +4 | Prototyping,11 hari yang lalu,glints
UI/UX Designer Intern,PT. Cipta Visi Cakrawala,"Kab. Tangerang,Banten",Rp 1 jt,Magang,Not Specified,Minimal SMA/SMK,+4 | UX Design | Remote/Dari rumah,19 hari yang lalu,glints
UI/UX Desainer,CV Armas Surya Cemerlang,"Jakarta Pusat,DKI Jakarta",Rp 3 jt-5 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Remote/Dari rumah | +8,Kemarin,glints
Desainer UI/UX,Pt Jari Solusi International,"Jakarta Selatan,DKI Jakarta","Rp 3,6 jt-5,4 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | Adobe XD,8 hari yang lalu,glints
UI/UX Desainer,PT Inovasi Karya International,"Jakarta Barat,DKI Jakarta",Rp 7 jt-8 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+9 | Usability Testing,9 hari yang lalu,glints
Unpaid Internship UI/UX Designer,jobnation,"Malang,Jawa Timur",Tidak Ditampilkan,Magang,Not Specified,Minimal SMA/SMK,+2 | UI Design | Remote/Dari rumah,5 hari yang lalu,glints
Internship UI/UX Designer (PAID),Rimba Ananta Vikasa Indonesia,"Kab. Sleman,DI Yogyakarta",Tidak Ditampilkan,Magang,Not Specified,Minimal SMA/SMK,+2 | Communication Skills | Analytical Skills,25 hari yang lalu,glints
UI/UX Desainer,Solutionlabs Grup Indonesia,"Kab. Sleman,DI Yogyakarta",Rp 6 jt-7 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+5 | Remote/Dari rumah,4 hari yang lalu,glints
Product Designer,PT HIKMAT UMAT BERINOVASI,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Hybrid | +20,Kemarin,glints
Product Designer,PT Hydrax Teknologi Indonesia,"Jakarta Selatan,DKI Jakarta",Rp 15 jt-20 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+7 | Remote/Dari rumah,15 hari yang lalu,glints
Product Designer,Bareksa Portal Investasi / Bareksa.com,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Hybrid | +15,3 hari yang lalu,glints
Product Designer,PT Aku Pintar Indonesia,"Jakarta Barat,DKI Jakarta","Rp 5,4 jt-6,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Hybrid | +7,5 hari yang lalu,glints
Product Designer,PT Panca Usahatama Paramita,"Jakarta Barat,DKI Jakarta","Rp 3,5 jt-5,3 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | Creative Design,18 hari yang lalu,glints
Product Designer,Kaosedhewe,"Semarang,Jawa Tengah","Rp 2,5 jt-3,2 jt",Penuh Waktu,1–3 tahun,Minimal SMA/SMK,Fashion Brand Sales | +5,11 hari yang lalu,glints
Product Designer,Patina Project LLC,"Jakarta Selatan,DKI Jakarta",Rp 17 jt-22 jt,Kontrak,3–5 tahun,Minimal SD,+5 | Remote/Dari rumah,31 hari yang lalu,glints
Product Designer,RRMF Official,"Jakarta Utara,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+2 | Fashion Brand Sales,5 hari yang lalu,glints
Product Designer,JAWA CLASSIC AESTETICS FURNITURE & CRAFT,"Kab. Bantul,DI Yogyakarta",Rp 1 jt-3 jt,Paruh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | Figma,6 hari yang lalu,glints
Internship Product Designer,CV Kingkoper Promosindo,"Bekasi,Jawa Barat",Tidak Ditampilkan,Magang,Not Specified,Minimal Diploma (D1 - D4),+2 | Packaging Design | Sketch,5 hari yang lalu,glints
Product Designer Footwear,Patris Official,"Bogor,Jawa Barat",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,Wireframing | +11,3 hari yang lalu,glints
Packaging Product Designer,Mulia Box,"Kab. Bandung,Jawa Barat",Rp 3 jt-4 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Packaging Design | +3,8 hari yang lalu,glints
Senior Product Designer,PT Pintar Pemenang Asia,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Jira | +3,26 hari yang lalu,glints
Product & Graphic Designer,PT. Andalan Permata Harapan,"Tangerang Selatan,Banten","Rp 2,8 jt-4 jt",Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+2 | Adobe Photoshop,7 hari yang lalu,glints
Creative Product Designer,Nappa Milano,"Kab. Tangerang,Banten",Rp 5 jt-6 jt,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+6 | Brand Design,26 hari yang lalu,glints
