job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,cluster_prediction
Backend Developer,PT GDC Multi Sarana (Jakarta),"Jakarta Selatan,DKI Jakarta",Rp 10 jt-15 jt,Penuh Waktu,3–5 tahun,Minimal SMA/SMK,+4 | PostgreSQL,0
BACKEND DEVELOPER,ITOMMEY Bintang Indonesia,"Jakarta Selatan,DKI Jakarta","Rp 6 jt-7,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Python | +3,0
Backend Developer,PT Intersolusi Teknologi Asia (BTS.id),"Bandung,Jawa Barat","Rp 5 jt-7,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Angular.js | +19,0
Backend Developer,Pt Eigen Trimathema,"Bandung,Jawa Barat",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+9 | Time Management,0
Scala/Java Backend Developer,Nolimit Indonesia,"Bandung,Jawa Barat","Rp 4,8 jt-7,2 jt",Kontrak,1–3 tahun,Minimal Sarjana (S1),+4 | Java,0
Backend Java Developer,Cyber Olympus,"Kab. Sleman,DI Yogyakarta",Rp 24 jt-28 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),PostgreSQL | +12,0
Backend Developer (.NET),PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta","Rp 5 jt-8,5 jt",Kontrak,3–5 tahun,Minimal Sarjana (S1),+5 | NoSQL,2
Backend Java Developer,PT. Vlink Consulting Indonesia,"Jakarta Selatan,DKI Jakarta",Rp 8 jt-20 jt,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+2 | Java,0
Backend Java Developer,Pt Kulego Tiga Kreasi,"Jakarta Selatan,DKI Jakarta",Rp 7 jt-13 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Quarkus | +4,0
Backend Developer (Node.js),PT Imecon Teknindo,"Jakarta Selatan,DKI Jakarta",Rp 6 jt-11 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+19 | Microsoft SQL Server,0
Lead Backend Developer,PT. Barrans Global Mandiri,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Kontrak,5–10 tahun,Minimal Sarjana (S1),+6 | apache kafka,0
